maximum error = 0.01
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0738	0.3356	0.219905
10	0.1663	0.2005	0.829426
50	1.0873	1.5888	0.684353
100	3.1131	15.4942	0.20092
200	5.5355	1.2711	4.35489
500	32.4417	4.3853	7.39783
800	79.3391	10.313	7.69312
1000	115.817	18.7087	6.19056
1500	203.518	28.3252	7.18505
2000	300.819	39.7639	7.56514
2500	472.647	53.0873	8.9032
3500	849.599	95.6335	8.8839
5000	1769.2	210.306	8.41251
6500	3075.37	350.033	8.78593
8500	5174.36	593.387	8.72004
10000	6883.98	874.798	7.86923
