maximum error = 0.001
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0879	0.1527	0.575639
10	0.1657	0.203	0.816256
50	1.8499	2.8331	0.65296
100	5.2351	8.5469	0.612514
200	16.0924	53.7572	0.299353
500	61.3697	617.591	0.0993694
800	82.4259	612.221	0.134634
1000	89.6312	15.4388	5.80558
1500	198.678	24.285	8.18112
2000	287.913	31.6861	9.0864
2500	450.042	52.631	8.5509
3500	906.074	94.1376	9.625
5000	1839.32	208.352	8.82795
6500	3211.32	340.017	9.44457
8500	5684.5	585.26	9.71278
10000	7135.88	929.565	7.67658
