maximum error = 0.0005
# n	SingleThreaded	MultiThreaded	TimeDifference
5	0.0625	0.1594	0.392095
10	0.1476	0.1982	0.744702
50	2.1022	2.7659	0.760042
100	8.9593	32.9748	0.271701
200	23.4965	108.847	0.215868
500	85.882	1138.36	0.0754435
800	197.251	1880.65	0.104885
1000	162.251	2554.02	0.0635278
1500	254.393	3547.04	0.0717198
2000	325.837	52.316	6.22825
2500	542.313	77.9566	6.9566
3500	1028.65	131.894	7.7991
5000	1676.97	171.617	9.77156
6500	3092.53	305.838	10.1117
8500	4955.59	522.473	9.48487
10000	6935.28	830.939	8.34631
